date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type,purpose1,type1
1955-08-05,1955,55018,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,1.2,1.2,WR,,SURFACE,WR,ATMOSPH
1955-09-21,1955,55019,USSR,NZ RUSS,DOE,73.0,55.0,0.0,0.0,0.0,3.5,3.5,WE,,UW,PNE,UNDERWATER
1955-11-01,1955,55022,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,PROJECT 56:1,SURFACE,PNE,ATMOSPH
1955-11-03,1955,55023,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,PROJECT 56:2,SURFACE,PNE,ATMOSPH
1955-11-05,1955,55024,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,PROJECT 56:3,SURFACE,PNE,ATMOSPH
1955-11-06,1955,55020,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,250.0,250.0,WR,,ATMOSPH,WR,ATMOSPH
1955-11-22,1955,55021,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,1600.0,1600.0,WR,,ATMOSPH,WR,ATMOSPH
1956-01-18,1956,56001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.001,0.0,20.0,SE,PROJECT 56:4,SURFACE,PNE,ATMOSPH
1956-02-02,1956,56002,USSR,KAZAKH,MTM,46.0,61.0,0.0,0.0,0.0,0.3,0.3,WE,,SURFACE,PNE,ATMOSPH
1956-03-16,1956,56003,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,14.0,14.0,WR,,SURFACE,WR,ATMOSPH
1956-03-25,1956,56004,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,5.5,5.5,WR,,SURFACE,WR,ATMOSPH
1956-05-04,1956,56005,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,40.0,40.0,WR,LACROSSE,SURFACE,WR,ATMOSPH
1956-05-16,1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0.0,0.0,0.0,15.0,15.0,WR,MOSAIC:Gl,TOWER,WR,ATMOSPH
1956-05-20,1956,56007,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-1.5,3800.0,3800.0,WR,CHEROKEE,AIRDROP,WR,ATMOSPH
1956-05-27,1956,56008,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,3500.0,3500.0,WR,ZUNI,SURFACE,WR,ATMOSPH
1956-05-27,1956,56009,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,0.19,0.19,WR,YUMA,TOWER,WR,ATMOSPH
1956-05-30,1956,56010,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,14.9,14.9,WR,ERIE,TOWER,WR,ATMOSPH
1956-06-06,1956,56011,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,13.7,13.7,WR,SEMINOLE,SURFACE,WR,ATMOSPH
1956-06-11,1956,56012,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,365.0,365.0,WR,FLATHEAD,BARGE,WR,ATMOSPH
1956-06-11,1956,56013,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,8.0,8.0,WR,BLACKFOOT,TOWER,WR,ATMOSPH
1956-06-13,1956,56014,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,1.49,1.49,WR,KICKAPOO,TOWER,WR,ATMOSPH
1956-06-16,1956,56015,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.2,1.7,1.7,WR,OSAGE,AIRDROP,WR,ATMOSPH
1956-06-19,1956,56016,UK,MONTEB AUSTR,DOE,-20.4,115.53,0.0,0.0,0.0,60.0,60.0,WR,MOSAIC:G2,TOWER,WR,ATMOSPH
1956-06-21,1956,56017,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,15.2,15.2,WR,INCA,TOWER,WR,ATMOSPH
1956-06-25,1956,56018,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,1100.0,1100.0,WR,DAKOTA,BARGE,WR,ATMOSPH
1956-07-02,1956,56019,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,360.0,360.0,WR,MOHAWK,TOWER,WR,ATMOSPH
1956-07-08,1956,56020,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,1850.0,1850.0,WR,APACHE,BARGE,WR,ATMOSPH
1956-07-10,1956,56021,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,4500.0,4500.0,WR,NAVAJO,BARGE,WR,ATMOSPH
1956-07-20,1956,56022,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,5000.0,5000.0,WR,TEWA,BARGE,WR,ATMOSPH
1956-07-21,1956,56023,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,250.0,250.0,WR,HURON,BARGE,WR,ATMOSPH
1956-08-24,1956,56024,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,27.0,27.0,WR,,SURFACE,WR,ATMOSPH
1956-08-30,1956,56025,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,900.0,900.0,WR,,ATMOSPH,WR,ATMOSPH
1956-09-02,1956,56026,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,51.0,51.0,WR,,ATMOSPH,WR,ATMOSPH
1956-09-10,1956,56027,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,38.0,38.0,WR,,ATMOSPH,WR,ATMOSPH
1956-09-27,1956,56028,UK,MARALI AUSTR,DOE,-30.0,131.0,0.0,0.0,0.0,15.0,15.0,WR,BUFFALO: Rl,TOWER,WR,ATMOSPH
1956-10-04,1956,56029,UK,MARALI AUSTR,DOE,-30.0,131.0,0.0,0.0,-0.001,1.5,1.5,WE,BUFFALO:R2,SURFACE,PNE,ATMOSPH
1956-10-11,1956,56030,UK,MARALI AUSTR,DOE,-30.0,131.0,0.0,0.0,0.0,3.0,3.0,WR,BUFFALO: R3,AIRDROP,WR,ATMOSPH
1956-10-22,1956,56031,UK,MARALI AUSTR,DOE,-30.0,131.0,0.0,0.0,0.0,10.0,10.0,WR,BUFFALO:R4,TOWER,WR,ATMOSPH
1956-11-17,1956,56032,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,900.0,900.0,WR,,ATMOSPH,WR,ATMOSPH
1956-12-14,1956,56033,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,40.0,40.0,WR,,ATMOSPH,WR,ATMOSPH
1957-01-19,1957,57001,USSR,MTR RUSS,DOE,48.0,46.0,0.0,0.0,0.0,10.0,10.0,WE,,ATMOSPH,PNE,ATMOSPH
1957-03-08,1957,57002,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,19.0,19.0,WR,,ATMOSPH,WR,ATMOSPH
1957-04-03,1957,57003,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,42.0,42.0,WR,,ATMOSPH,WR,ATMOSPH
1957-04-06,1957,57004,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,57.0,57.0,WR,,ATMOSPH,WR,ATMOSPH
1957-04-10,1957,57005,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,680.0,680.0,WR,,ATMOSPH,WR,ATMOSPH
1957-04-12,1957,57006,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,22.0,22.0,WR,,ATMOSPH,WR,ATMOSPH
